סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
3575 ,בית חורון ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,1437 ,123 ,451 ,475 ,182 ,81 ,125
3576 ,מצפה יריחו ,75 ,ירדן )יריחו( ,11 ,ירושלים ,73 ,מטה בנימין ,2882 ,388 ,942 ,1043 ,188 ,119 ,202
3578 ,שדמות מחולה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,901 ,130 ,272 ,330 ,60 ,52 ,57
3579 ,אלון מורה ,72 ,שכם ,48 ,אריאל ,72 ,שומרון ,2168 ,393 ,733 ,744 ,112 ,54 ,132
3598 ,ארגמן ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,186 ,21 ,36 ,62 ,20 ,9 ,38
3599 ,מחולה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,861 ,111 ,300 ,291 ,69 ,21 ,69
3601 ,קליה ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,578 ,56 ,133 ,215 ,48 ,48 ,78
3602 ,ראש צורים ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1164 ,134 ,396 ,408 ,146 ,34 ,46
3603 ,הר גילה ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,1670 ,105 ,441 ,577 ,259 ,92 ,196
3604 ,אלון שבות ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,3611 ,385 ,822 ,1366 ,346 ,285 ,407
3605 ,משואה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,501 ,104 ,123 ,173 ,46 ,10 ,45
3606 ,גלגל ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,225 ,22 ,48 ,76 ,21 ,22 ,36
3607 ,ייט"ב ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,267 ,31 ,79 ,83 ,28 ,19 ,27
3608 ,מעלה אפרים ,75 ,ירדן )יריחו( ,23 ,עפולה ,0 , ,2004 ,255 ,526 ,653 ,158 ,159 ,253
3609 ,חמרה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,281 ,32 ,79 ,85 ,33 ,15 ,37
3610 ,מצפה שלם ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,217 ,9 ,38 ,81 ,25 ,37 ,27
3611 ,קרית ארבע ,77 ,חברון ,11 ,ירושלים ,0 , ,8459 ,996 ,2161 ,3066 ,745 ,483 ,1008
3612 ,בקעות ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,228 ,14 ,58 ,66 ,43 ,11 ,36
3613 ,גיתית ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,654 ,72 ,252 ,225 ,62 ,8 ,35
3614 ,מכורה ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,228 ,16 ,65 ,72 ,29 ,11 ,35
3615 ,פצאל ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,464 ,58 ,116 ,153 ,53 ,12 ,72
3616 ,מעלה אדומים ,76 ,בית לחם ,11 ,ירושלים ,0 , ,40971 ,3306 ,8402 ,14847 ,4629 ,3809 ,5978
3617 ,עופרה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,3328 ,323 ,823 ,1320 ,330 ,254 ,278
3618 ,אלעזר ,76 ,בית לחם ,11 ,ירושלים ,76 ,גוש עציון ,2883 ,278 ,791 ,1073 ,333 ,227 ,181
3619 ,רועי ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,163 ,9 ,25 ,56 ,23 ,9 ,41
3620 ,נערן ,75 ,ירדן )יריחו( ,23 ,עפולה ,75 ,ערבות הירדן ,159 ,30 ,33 ,73 ,16 ,3 ,4
3638 ,כפר אדומים ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,5313 ,551 ,1617 ,1929 ,569 ,345 ,302
3639 ,ורד יריחו ,75 ,ירדן )יריחו( ,11 ,ירושלים ,74 ,מגילות ים המלח ,414 ,23 ,118 ,138 ,67 ,25 ,43
3640 ,קרני שומרון ,73 ,טול כרם ,48 ,אריאל ,0 , ,11265 ,1283 ,3128 ,4014 ,915 ,638 ,1287
3641 ,שילה ,74 ,ראמאללה ,11 ,ירושלים ,73 ,מטה בנימין ,6201 ,1079 ,2345 ,2120 ,327 ,127 ,203
